57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[1.666]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[15.987]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[18.468]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[11.992]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[11.992]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[26.749]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[18.43]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[18.43]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[13.453]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[24.8]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[24.584]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[20.051]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[27.558]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[27.558]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[13.34]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[35.343]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[26.124]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[20.997]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[21.628]
57.59,382.4,353.59,41.4,69.64,18.12,11.93,16.09,[30.039]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[22.224]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[36.976]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[36.976]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[14.378]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[14.378]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[15.553]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[15.553]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[22.598]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[21.67]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[26.25]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[35.028]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[29.802]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[38.338]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[27.751]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[27.751]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[38.073]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[19.966]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[36.621]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[24.224]
86.57,382.75,331.68,307.86,82.47,143.45,55.55,28.16,[24.224]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[12.072]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[33.424]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[19.239]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[24.53]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[24.53]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[27.406]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[28.127]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[24.437]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[34.727]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[18.168]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[18.168]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[35.851]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[27.573]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[30.181]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[37.138]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[22.159]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[23.064]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[28.614]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[31.765]
88.53,381.18,350.74,46.72,23.09,145.83,23.97,82.67,[31.765]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[36.446]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[20.483]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[28.15]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[18.459]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[16.657]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[21.749]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[13.723]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[24.899]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[24.832]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[27.043]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[33.343]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[33.343]
70.15,382.66,324.17,177.98,28.43,20.17,19.28,114.04,[43.851]
